pin,channel
3,0
5,1
2,2
4,3
7,4
9,5
6,6
8,7
11,8
13,9
10,10
12,11
15,12
17,13
14,14
16,15
19,16
21,17
18,18
20,19
23,20
25,21
22,22
24,23
27,24
29,25
26,26
28,27
31,28
33,29
30,30
32,31
35,32
37,33
34,34
36,35
39,36
41,37
38,38
40,39
43,40
45,41
42,42
44,43
47,44
49,45
46,46
48,47
51,48
53,49
50,50
52,51
55,52
57,53
54,54
56,55
59,56
61,57
58,58
60,59
63,60
65,61
62,62
64,63
67,64
69,65
66,66
68,67
71,68
73,69
70,70
72,71
75,72
77,73
74,74
76,75
79,76
81,77
78,78
80,79
83,80
85,81
82,82
84,83
87,84
89,85
86,86
88,87
91,88
93,89
90,90
92,91
95,92
97,93
94,94
96,95
99,96
101,97
98,98
100,99
103,100
105,101
102,102
104,103
107,104
109,105
106,106
108,107
111,108
113,109
110,110
112,111
115,112
117,113
114,114
116,115
119,116
121,117
118,118
120,119
123,120
125,121
122,122
124,123
127,124
129,125
126,126
128,127
